File_Name,Hu_Moment_1,Hu_Moment_2,Hu_Moment_3,Hu_Moment_4,Hu_Moment_5,Hu_Moment_6,Hu_Moment_7,Perimeter,Diameter,Area
Scaevola_taccada14_horizontal_0.jpg,0.181882316338815,0.0068543248504922905,0.00025627241835501886,2.451227645734909e-05,1.7759237656396097e-09,1.4889326712106193e-06,7.877418404705521e-10,1306.9545263051987,164.03466493058164,21133.0
Scaevola_taccada14_horizontal_270.jpg,0.1824354043849316,0.007131653343015792,0.00023785466135718992,2.3990934238938264e-05,1.6904729909520437e-09,1.5829735657549135e-06,6.532068343679498e-10,1400.895652770996,163.72777826274356,21054.0
Scaevola_taccada14_horizontal_90.jpg,0.1814297878730718,0.006813997760805489,0.0002243670427353836,1.85062200522373e-05,1.0451658542134245e-09,1.0515967838306436e-06,5.741687054518072e-10,1363.966719508171,164.0171994668147,21128.5
Scaevola_taccada14_original_0.jpg,0.18126942329197543,0.006696537279778236,0.00023067080244134185,1.8007860495074364e-05,1.0002291583967866e-09,9.590984875934598e-07,-5.887078543376531e-10,1279.4570540189743,164.12584326726085,21156.5
Scaevola_taccada14_original_270.jpg,0.18157183406775362,0.006920552963242191,0.00020441929343289003,1.640301945415158e-05,7.910536265452115e-10,8.242491622181231e-07,-5.257512166452561e-10,1359.6235747337341,164.00167304865505,21124.5
Scaevola_taccada14_original_90.jpg,0.18155178563008262,0.006816929253806759,0.00023161252220943072,2.1698352065891063e-05,1.3991568858816058e-09,1.3270182190096666e-06,-6.391479526156621e-10,1401.1382933855057,163.7647127757659,21063.5
Scaevola_taccada14_vertical_0.jpg,0.18140994910432884,0.006833209672896343,0.00021733325640187993,1.8434140616053456e-05,1.0088126799224813e-09,1.0405326643905046e-06,5.862811560738325e-10,1347.1971687078476,163.69861355023323,21046.5
Scaevola_taccada14_vertical_270.jpg,0.1814297878730718,0.006813997760805489,0.0002243670427353836,1.85062200522373e-05,1.0451658542134245e-09,1.0515967838306436e-06,5.741687054518072e-10,1363.966719508171,164.0171994668147,21128.5
Scaevola_taccada14_vertical_90.jpg,0.1824354043849316,0.007131653343015792,0.00023785466135718992,2.3990934238938264e-05,1.6904729909520437e-09,1.5829735657549135e-06,6.532068343679498e-10,1400.895652770996,163.72777826274356,21054.0
Scaevola_taccada15_horizontal_0.jpg,0.245414431837549,0.029843862072367843,0.0032555191084616686,0.001544801295045937,3.463319672356016e-06,0.0002667857195086395,-8.359741780474121e-08,1333.037787437439,118.8714114809395,11098.0
Scaevola_taccada15_horizontal_270.jpg,0.2476640400229421,0.031301273703996886,0.0031516297497580655,0.0015612066370822067,3.4623498919301333e-06,0.00027614266000780205,-6.939979884629755e-08,1305.3149183988571,117.87377372393938,10912.5
